J_type,N-SIZE,Thk,Filler Size(2.4),Electrode  Size(2.5),Electrode  Size(3.25),Electrode  Size(4)
BW,10,18,0.361152588,0,0.976088076,1.825284701
FW,10,18,0,0,4.099569917,0
BW,2,18,0.079741857,0,0.215518532,0.403019654
BW,10,18.26,0.361152588,0,0.976088076,1.825284701
BW,8,18.26,0.28974197,0,0.783086406,1.464371578
BW,6,18.26,0.222563092,0,0.601521872,1.1248459
BW,14,19.05,0.470252143,0,1.347208842,2.745255754
FW,14,19.05,0,0,5.909925582,0
BW,18,19.05,0.604609898,0,1.732125654,3.529614541
BW,1,19.05,0.04416879,0,0.126537613,0.257850231
FW,1.5,19.05,0,0,0.35399723,0
BW,0.75,19.05,0.035308583,0,0.10115432,0.206125784
FW,1.5,19.4,0,0,0.35399723,0
FW,2,19.4,0,0,1.002161171,0
BW,18,19.4,0.604609898,0,1.732125654,3.529614541
FW,18,19.4,0,0,7.598475748,0
FW,16,19.4,0,0,6.754200665,0
FW,8,19.4,0,0,3.641351786,0
BW,34,19.4,1.142040919,0,3.271792903,6.667049688
FW,34,19.4,0,0,14.35267641,0
BW,24,19.4,0.806146531,0,2.309500872,4.706152721
FW,24,19.4,0,0,10.131301,0
BW,10,20,0.361152588,0,1.03465336,2.391415785
BW,3,20,0.117563036,0,0.336802211,0.77845794
BW,0.5,20,0.028167522,0,0.080696143,0.186514669
BW,32,20.3,1.074862041,0,3.079334497,7.117329733
BW,30,20.3,1.007683164,0,2.886876091,6.672496625
FW,30,20.3,0,0,13.94415621,0
BW,0.5,21,0.028167522,0,0.085263849,0.210114485
BW,0.75,21,0.035308583,0,0.106880036,0.263382946
BW,1.5,21,0.028167522,0,0.085263849,0.210114485
FW,1.5,21.44,0,0,0.427080529,0
BW,0.75,21.44,0.035308583,0,0.106880036,0.263382946
BW,10,21.44,0.361152588,0,1.093218645,2.694003088
BW,8,21.44,0.28974197,0,0.877056774,2.161318479
BW,16,21.44,0.537431021,0,1.626818225,4.008944911
BW,12,21.44,0.428331466,0,1.296570923,3.195121202
BW,6,22,0.222563092,0,0.709795808,1.858702583
BW,1,22,0.04416879,0,0.140862626,0.368869081
FW,3,22.2,0,0,1.944556159,0
FW,2,22.2,0,0,1.318973413,0
FW,6,22.2,0,0,3.681313854,0
BW,8,22.2,0.28974197,0,0.924041958,2.419736993
FW,8,22.2,0,0,4.792488802,0
BW,16,22.2,0.567431021,0,1.826818225,4.108944911
FW,16,22.2,0,0,8.889399585,0
FW,18,22.2,0,0,10.00057453,0
BW,32,22.2,1.074862041,0,3.427938402,8.976550561
FW,24,22.2,0,0,13.33409938,0
FW,20,22.2,0,0,11.11174948,0
BW,34,23,1.142040919,0,3.827380377,10.61789395
BW,2,23,0.079741857,0,0.267242979,0.741383748
BW,20,23.8,0.671788776,0,2.251400222,6.24581997
BW,18,23.82,0.604609898,0,2.026260199,5.621237973
FW,18,23.82,0,0,10.86663736,0
BW,18,23.83,0.604609898,0,2.026260199,5.621237973
BW,14,23.83,0.470252143,0,1.575980155,4.372073979
BW,14,23.88,0.470252143,0,1.575980155,4.372073979
BW,18,23.88,0.604609898,0,2.026260199,5.621237973
FW,1.5,23.88,0,0,0.506254103,0
BW,3,24,0.117563036,0,0.393995039,1.204226772
BW,2,25,0.079741857,0,0.280174091,0.896557091
BW,0.75,25,0.035308583,0,0.124057185,0.396982991
FW,0.75,25,0,0,0.741480249,0
BW,12,25.4,0.428331466,0,1.609137127,4.815834856
BW,10,25.4,0.361152588,0,1.356762425,4.060526394
BW,24,26,0.806146531,0,3.20279838,9.913423556
FW,24,26,0,0,18.27991728,0
FW,30,26,0,0,22.8498966,0
BW,28,26,0.940504286,0,3.73659811,11.56566082
FW,28,26,0,0,21.32657016,0
BW,42,26,1.410756429,0,5.604897165,17.34849122
BW,20,26.19,0.671788776,0,2.66899865,8.261186297
BW,16,26.19,0.3645408,0,8.265055993,0
BW,14,27.79,0.470252143,0,1.969975194,6.30392062
BW,14,28,0.470252143,0,1.969975194,6.825010833
BW,4,28,0.151152475,0,0.633206312,2.193753482
BW,1.5,28,0.028167522,0,0.117999077,0.408809704
BW,18,29.36,0.604609898,0,2.663551714,9.477668675
BW,24,30.93,0.806146531,0,3.725704238,13.61734005
BW,24,30.96,0.806146531,0,3.725704238,13.61734005
FW,24,30.96,0,0,24.03188172,0
BW,12,30.96,0.428331466,0,1.979585962,7.235328809
BW,4,30.96,0.151152475,0,0.698569545,2.553251259
FW,1.5,30.96,0,0,0.839696655,0
BW,26,31.4,0.873325409,0,4.225006706,15.86147769
BW,14,31.75,0.470252143,0,2.275003611,8.540795679
BW,28,32.5,0.940504286,0,4.550007222,18.27628599
BW,20,32.54,0.671788776,0,3.250005159,13.05448999
BW,12,33.32,0.428331466,0,2.16481038,8.890772041
BW,28,33.8,0.940504286,0,4.7533595,19.5218187
BW,30,34.7,1.007683164,0,5.31076262,22.305203
BW,20,34.93,0.671788776,0,3.540508413,14.87013533
BW,30,36,1.007683164,0,5.52864006,25.13760973
BW,30,36.2,1.007683164,0,5.52864006,25.13760973
BW,16,36.53,0.537431021,0,2.948608032,13.40672519
FW,1.5,36.53,0,0,1.186842325,0
BW,48,37,1.779081999,0,10.14557573,47.02546474
BW,60,37,2.223852499,0,12.68196966,58.78183092
BW,20,38.1,0.671788776,0,3.976263295,18.79192927
BW,34,38.5,1.142040919,0,6.759647601,31.94627976
BW,32,38.6,1.074862041,0,6.362021271,30.06708683
BW,24,38.89,0.806146531,0,4.771515954,22.55031512
BW,30,42.9,1.007683164,0,6.618027264,34.72421713
FW,1.5,42.9,0,0,1.58880047,0
BW,8,43,0.28974197,0,1.902899965,10.47769611
BW,20,44.45,0.671788776,0,4.557269803,25.47350412
BW,20,44.46,0.671788776,0,4.557269803,25.47350412
